bhk, rent, advance, lat, long
2, 13500, 75000, 12.880542, 77.571786
2, 19200, 79500, 12.884788, 77.530351
3, 14900, 79500, 12.912241, 77.498755
1, 16900, 73500, 12.970755, 77.499377
2, 18900, 62500, 12.970755, 77.499377
2, 19900, 82500, 13.023757, 77.568717 
3, 11900, 82500, 12.980426, 77.602663
1, 17900, 79500, 12.992720, 77.592374
2, 19900, 70500, 12.998919, 77.591569
2, 12900, 72500, 12.990096, 77.606750
3, 16700, 71100, 12.995250, 77.607737
2, 16900, 62500, 12.998135, 77.605645
1, 12600, 62500, 13.003466, 77.609
2, 14900, 92500, 13.007417, 77.608778
2, 17900, 122500, 13.005368, 77.625182
1, 11900, 92500, 12.999127, 77.636748
2, 19200, 41900, 12.93602, 77.59123
2, 10700, 91200, 12.9548, 77.51743
2, 15100, 138300, 12.99979, 77.50218
1, 13700, 108100, 12.91487, 77.5091
2, 14000, 126300, 12.96602, 77.60585
1, 25700, 87600, 12.94928, 77.5679
2, 23100, 41500, 12.91226, 77.58863
2, 24100, 45200, 12.9655, 77.61808
1, 19600, 148600, 12.91202, 77.53806
3, 26400, 124600, 12.97291, 77.58403
2, 17300, 88400, 12.92231, 77.52334
3, 19700, 112000, 12.97085, 77.61904
1, 28500, 120200, 12.9704, 77.56423
2, 8800, 68000, 12.88856, 77.56311
1, 17100, 110200, 12.8809, 77.51504
2, 9700, 137400, 12.92726, 77.57311
1, 13200, 126800, 12.94471, 77.60819
3, 28100, 97200, 12.97742, 77.50376
3, 12500, 122800, 12.90618, 77.57352
2, 20800, 99200, 12.90701, 77.51967
2, 21000, 71700, 12.91171, 77.58973
2, 9900, 145900, 12.90211, 77.52325
1, 18300, 149200, 12.91483, 77.51411
2, 16200, 59800, 12.92551, 77.52398
3, 17600, 59200, 12.92682, 77.60388
3, 21800, 61200, 12.89817, 77.54001
2, 12700, 115400, 12.89652, 77.59063
1, 28000, 109400, 12.94603, 77.54663
3, 22400, 110600, 12.94151, 77.6281
3, 15500, 64400, 13.00712, 77.59569
1, 25200, 95100, 12.88961, 77.58082
3, 28700, 51300, 12.8765, 77.60667
1, 19200, 85300, 12.91002, 77.60981
2, 21300, 69000, 12.9135, 77.58628
1, 20600, 78700, 12.98308, 77.56485
2, 9600, 72300, 12.86594, 77.51996
3, 17300, 125500, 12.87752, 77.56717
3, 28000, 106200, 12.87513, 77.57326
1, 20700, 135700, 12.93201, 77.59364
2, 9100, 109800, 12.88839, 77.55851
2, 21800, 102600, 12.98752, 77.60635
2, 9600, 137400, 12.88093, 77.60954
1, 11100, 70500, 12.94095, 77.51677
2, 21800, 56600, 12.96258, 77.60662
2, 11100, 129000, 12.99953, 77.62739
1, 27900, 102600, 12.93818, 77.5148
2, 20900, 133900, 12.95398, 77.61506
2, 21000, 114300, 13.0082, 77.53289
3, 11000, 145300, 12.9408, 77.60777
3, 29500, 132200, 12.86221, 77.5959
3, 16000, 45700, 12.87371, 77.5085
1, 22000, 105500, 12.87529, 77.55902
2, 14900, 56800, 12.90326, 77.51743
3, 23500, 71000, 12.99996, 77.56824
2, 13900, 40300, 12.94246, 77.58978
2, 22500, 54100, 12.97143, 77.5055
2, 14500, 93400, 12.98698, 77.60506
2, 22700, 140800, 12.92311, 77.5303
1, 11700, 85500, 12.93884, 77.55869
2, 15800, 73300, 12.88633, 77.57364
1, 19900, 66900, 12.9293, 77.54317
1, 27500, 119600, 12.92173, 77.60653
3, 29100, 137600, 12.9158, 77.57584
3, 20000, 120000, 12.98648, 77.55226
1, 11800, 105700, 12.869, 77.53616
1, 29100, 56300, 12.88157, 77.6053
2, 19500, 144600, 12.87333, 77.57155
1, 13200, 123300, 12.86116, 77.61698
3, 28100, 57600, 12.95438, 77.59205
2, 29000, 148500, 12.94781, 77.57142
3, 23800, 111900, 12.89129, 77.60952
3, 20500, 148100, 12.87765, 77.51189
2, 27700, 144900, 12.99749, 77.61659
2, 12100, 64900, 12.8738, 77.61345
3, 23200, 100600, 12.95979, 77.55062
2, 26400, 50300, 12.91583, 77.59672
3, 19300, 45400, 12.85955, 77.50528
2, 28100, 78800, 12.92241, 77.57557
2, 29500, 122200, 12.9459, 77.60065
3, 13800, 102500, 12.89504, 77.53076
3, 8600, 115700, 12.95615, 77.55833
3, 9900, 118400, 12.99583, 77.51142
3, 15100, 86900, 12.91328, 77.53664
3, 14100, 50500, 12.87892, 77.57342
1, 8600, 80000, 12.88018, 77.58073
1, 17000, 116300, 12.9966, 77.54498
1, 19400, 51900, 12.92777, 77.60858
3, 20900, 100100, 12.95279, 77.51905
2, 10800, 104500, 12.95557, 77.53539
3, 28800, 130400, 12.86774, 77.52405
2, 12600, 144700, 12.87376, 77.62096
3, 8400, 101600, 12.90375, 77.60828
2, 27700, 53100, 12.96776, 77.57962
1, 23200, 115900, 12.99199, 77.58438
2, 10700, 63500, 12.91203, 77.52363
3, 29000, 143800, 12.96218, 77.56166
2, 20600, 69000, 12.95645, 77.53745
3, 29300, 77000, 12.88257, 77.58378
2, 23300, 121400, 12.8998, 77.59094
1, 9100, 67400, 12.97276, 77.59459
1, 22100, 73600, 12.93707, 77.51778
1, 8300, 59700, 12.98392, 77.54085
1, 22000, 108500, 12.98667, 77.59111
3, 17000, 89200, 12.88425, 77.62045
1, 11200, 78300, 12.96031, 77.56239
1, 23200, 135300, 13.00087, 77.57013
1, 9100, 82000, 13.00273, 77.50271
2, 29300, 117300, 12.89115, 77.55321
2, 12100, 45400, 12.98068, 77.55654
2, 11700, 144100, 12.89572, 77.60362
1, 16300, 44200, 12.86578, 77.52138
2, 16000, 124900, 12.95063, 77.50254
